Geneid,CZ_in vitro_1,CZ_in vitro_2,CZ_in vitro_3,CZ_0dpi_1,CZ_0dpi_2,CZ_0dpi_3,CZ_1dpi_1,CZ_1dpi_2,CZ_1dpi_3,CZ_3dpi_1,CZ_3dpi_2,CZ_3dpi_3,CZ_6dpi_1,CZ_6dpi_2,CZ_6dpi_3
KAM3422441.1,4.631899,3.715559,7.23867,0,0,0,0,29.499957,0,0,0,0,57.944274,13.819965,31.82988
KAM3422442.1,25.616419,34.169331,27.342516,55.555767,0,39.771505,35.031277,12.165469,0,22.950693,15.702677,34.215321,11.947802,28.496035,13.126304
KAM3422443.1,35.506577,39.098785,22.246699,77.985114,0,48.849783,0,74.711848,44.184686,42.284156,12.857989,10.506335,14.675017,0,10.748351
KAM3422444.1,8.308889,6.998377,7.930866,0,0,0,0,27.439082,32.455019,25.882517,35.417215,19.29307,16.842585,6.427249,4.934373
KAM3422445.1,83.614227,80.79282,80.074007,61.147419,130.95896,153.210683,67.475017,23.432352,157.056473,58.941551,60.490993,65.903374,38.355159,80.501298,61.803016
KAM3422446.1,6.861238,8.271982,10.997394,46.954388,0,0,51.813277,17.993429,85.130703,67.890792,30.966884,0,35.342974,50.576732,38.82912
KAM3422447.1,0.959033,1.38475,0.686551,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422448.1,41.548497,45.778868,41.098553,25.191821,0,63.120506,13.899348,19.307556,57.092571,127.485939,24.921383,20.363402,66.367354,72.360717,111.106546
KAM3422449.1,23.323508,37.691019,31.335863,0,109.132467,127.675569,56.229181,19.52696,69.289621,36.83847,33.606107,151.028565,182.187005,64.035123,56.18456
KAM3422450.1,374.036572,341.951849,275.871927,225.533873,156.272526,66.481953,21.959325,71.175192,90.199506,67.137566,118.118508,132.261702,149.789378,83.359332,151.764804
KAM3422451.1,124.658776,152.888367,99.995224,59.689106,0,0,82.332245,80.057288,54.109698,43.151884,39.365557,32.165817,143.209612,141.982322,242.687386
KAM3422452.1,102.168493,112.212465,89.520386,93.745172,66.92444,0,34.482007,0,0,45.181677,0,16.839422,41.161634,11.219693,34.454643
KAM3422453.1,24.800029,27.338691,42.641776,0,0,0,52.085978,0,0,34.124056,0,0,0,0,39.033484
KAM3422454.1,45.629309,46.309933,67.713961,65.943295,0,165.227207,72.767176,202.16147,119.558561,190.693254,0,35.536133,99.272176,23.676852,36.354716
KAM3422455.1,39.904822,50.142671,38.130992,51.345161,0,42.883397,18.886137,52.469389,62.060932,61.866132,0,55.338711,61.192582,67.59651,9.435575
KAM3422456.1,6.366645,6.538029,7.082975,0,0,0,0,40.913631,0,0,0,14.383673,25.113497,0,7.357502
KAM3422457.1,14.915244,26.685705,16.529427,20.688093,22.153765,25.917993,0,0,9.377142,7.478167,6.822001,5.574295,27.251186,18.57008,15.682426
KAM3422458.1,11.499319,24.841769,14.406188,0,0,0,0,18.987541,0,0,0,53.402366,27.971718,35.580684,6.829063
KAM3422459.1,24.684717,20.075068,23.341588,16.043449,0,0,17.703642,67.628256,29.087593,40.594807,10.580814,8.645642,39.247139,43.202843,13.267195
KAM3422460.1,59.477399,69.697512,45.234757,34.361257,0,0,56.875494,26.335211,62.298714,49.682534,113.307948,129.618385,90.524053,141.879682,99.45313
KAM3422461.1,44.150414,50.680996,49.024262,27.176631,58.203982,102.140455,74.972242,62.486273,49.272619,68.765143,71.693029,69.564672,30.684127,39.030932,37.456374
KAM3422462.1,569.196466,558.862527,766.342035,764.737748,223.340862,870.965123,2032.968224,1758.334646,2174.297553,1030.334868,871.153667,1011.540156,2851.958796,3057.80123,2673.339783
KAM3422463.1,25.589952,22.510897,25.673023,0,181.201077,0,186.723319,162.110613,76.697945,122.331521,139.49705,159.577352,23.881514,68.350158,128.270412
KAM3422464.1,11.285883,12.644871,7.152643,24.503519,69.972001,0,0,6.260009,37.021777,17.714674,26.933857,35.212489,15.370009,16.129586,11.25738
KAM3422465.1,20.223387,23.966238,17.957817,162.468988,104.387577,162.83261,17.928145,43.581911,22.092343,20.554798,26.787477,56.909314,25.98701,39.375635,33.588596
KAM3422466.1,40.716837,40.930978,79.06556,8.792439,0,0,9.70229,13.477431,0,25.425767,11.597402,9.476302,9.927218,0,21.812829
KAM3422467.1,10907.06805,11850.32561,14291.39387,1239.039808,1263.639089,1182.678957,260.429892,271.321973,213.946899,0,0,254.363899,2153.944979,953.304841,1480.019605
KAM3422468.1,174.8605,227.393862,255.345796,0,281.540435,73.195115,64.471244,0,0,21.119123,19.266042,31.484782,131.931752,94.398916,52.341317
KAM3422469.1,14.367851,14.766152,15.713097,0,52.839929,61.818157,40.8377,47.272971,33.548757,35.673016,61.017967,59.829748,27.856292,26.575394,20.402646
KAM3422470.1,6.531069,4.969904,6.285028,16.607941,0,0,18.326548,12.728685,45.166568,0,0,35.799364,25.001881,0,4.578001
KAM3422471.1,44.096964,66.470087,68.116815,0,0,114.258814,67.093803,23.299966,27.559262,65.934617,70.174109,8.19138,137.298467,98.238872,83.8007
KAM3422472.1,204.864613,158.164774,225.652421,120.441886,416.6876,139.282439,173.799287,269.827086,285.557224,221.030817,195.526443,244.641312,306.841272,299.384991,311.568926
KAM3422473.1,44.009208,46.03203,71.813364,267.710094,286.676331,0,73.853253,51.294701,121.343017,0,132.418095,36.066523,0,48.060476,36.897323
KAM3422474.1,11.616004,13.4306,16.924217,24.570652,0,0,0,0,0,17.763207,64.818355,13.24086,9.247271,35.28824,0
KAM3422475.1,20.24867,20.686026,17.975849,92.635642,92.998616,29.013428,31.944273,37.717666,26.24268,48.134966,15.273531,29.640209,19.610901,13.512161,19.949327
KAM3422476.1,48.729896,63.017972,45.550623,146.222089,104.387577,61.062229,26.892217,74.711848,88.369371,70.473594,0,26.265837,146.750173,126.877045,154.507541
KAM3422477.1,0.436677,0.326935,0.625215,0,0,0,0,0,0,0,0,0,0,0,0
KAM3422478.1,69.35718,70.693818,49.8767,58.616262,62.769,73.434314,48.51145,67.387157,119.558561,21.188139,38.658006,82.917643,79.969253,84.184364,58.571486
KAM3422480.1,11.491159,11.266564,14.544245,50.289466,0,126.005048,83.240208,211.98614,129.167941,278.732943,232.164809,361.33937,56.779974,66.206675,46.207863
KAM3422481.1,2.836572,1.592784,5.016874,0,0,0,0,0,0,0,0,0,0,0,21.403642
KAM3422482.1,7.444802,8.06429,9.978768,73.711957,0,0,40.669873,37.662959,66.821771,399.672162,153.943593,205.233338,23.118178,83.80957,20.3188
KAM3422483.1,7.354688,8.871389,6.727574,31.690064,0,0,69.938769,24.28795,0,0,62.699734,0,11.926693,22.756551,26.206226
KAM3422484.1,3.260576,3.41626,1.877771,0,0,84.956144,18.707629,12.993365,15.368586,0,11.18086,9.135943,0,0,0
KAM3422485.1,2.164018,2.231566,1.169187,0,0,31.73856,6.988938,0,0,27.472757,8.354061,20.478449,7.150962,0,0
