Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2207232,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1
KAF2207233,1020,919,705,0,0,0,0,0,0,6,0,2,10,36,5
KAF2207234,216,232,446,0,0,0,2,2,4,3,0,0,10,22,8
KAF2207235,306,308,623,0,0,0,2,0,2,2,2,2,4,21,1
KAF2207236,122,133,292,0,0,0,0,0,0,0,2,0,0,6,4
KAF2207237,505,582,628,0,4,0,0,0,0,2,0,2,6,15,4
KAF2207238,59,59,70,0,0,0,0,0,0,4,0,0,0,0,0
KAF2207239,65,64,70,0,0,0,0,0,0,4,0,0,2,7,2
KAF2207240,15980,14194,11020,14,8,6,24,10,27,122,59,40,666,1747,843
KAF2207241,1948,1669,1409,0,2,0,6,0,4,22,8,16,51,117,78
KAF2207242,6329,6756,10380,0,0,0,33,20,22,179,57,40,444,1045,441
KAF2207243,1646,1320,1322,3,2,2,0,0,0,10,5,6,30,72,29
KAF2207244,1093,1132,1962,0,0,0,0,2,0,2,0,8,2,28,10
KAF2207245,2491,3271,5403,2,0,0,0,2,2,15,0,2,42,74,24
KAF2207246,670,580,862,2,0,0,0,0,0,5,7,2,14,31,11
KAF2207247,15509,16237,25616,9,2,14,14,13,21,111,38,57,448,873,372
KAF2207248,180,137,235,0,0,2,0,0,0,2,1,5,12,40,17
KAF2207249,334,374,408,0,0,0,0,0,2,2,2,3,23,46,24
KAF2207250,154,143,271,0,0,0,0,0,3,6,0,3,2,8,3
KAF2207251,5,4,15,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207253,19,32,25,0,0,0,0,0,0,0,0,0,0,2,4
KAF2207254,30,18,12,0,0,0,0,0,0,0,0,0,3,2,1
EFT00053797907,27,13,25,0,0,0,0,0,0,0,0,0,0,1,0
KAF2207255,2152,1839,1186,2,2,1,0,0,0,9,6,3,38,87,22
KAF2207256,486,516,628,0,0,0,0,0,0,3,2,0,4,23,2
KAF2207257,6,9,29,0,0,0,0,0,0,0,0,0,0,3,2
KAF2207258,1470,1410,1919,0,0,4,2,0,2,0,0,0,3,10,14
KAF2207259,425,415,349,0,0,0,0,0,0,5,4,0,8,64,14
KAF2207260,88,66,549,0,0,0,0,0,0,0,0,0,0,2,0
KAF2207261,1248,1603,4561,0,0,0,0,0,0,0,0,0,7,18,7
KAF2207262,121,110,138,0,0,0,0,0,0,0,4,0,2,0,3
KAF2207263,1527,1623,1775,0,0,0,2,2,6,4,5,4,32,58,73
KAF2207264,2637,2984,3835,0,0,0,3,4,8,26,5,7,83,208,78
KAF2207265,2567,2349,1472,2,0,6,0,0,2,6,9,2,39,86,18
KAF2207266,142,118,117,0,0,0,0,0,0,0,0,2,0,1,2
KAF2207267,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207268,163,265,297,0,0,0,0,0,0,1,2,0,4,13,2
KAF2207269,90,90,239,0,0,2,0,0,0,2,0,0,8,14,10
KAF2207270,1235,1369,3416,0,0,0,0,6,2,8,0,4,62,68,44
KAF2207271,478,506,1128,0,0,0,0,0,0,4,0,4,19,23,28
KAF2207272,567,484,598,0,0,0,0,0,0,6,1,0,9,33,15
KAF2207273,1225,1003,1043,0,0,0,2,0,0,8,0,0,6,14,18
KAF2207274,39,38,37,0,0,0,0,0,2,0,0,0,2,5,2
KAF2207275,39,27,28,2,0,0,0,0,2,4,0,0,2,1,5
KAF2207276,160,140,139,0,0,0,0,0,0,0,0,0,0,0,2
KAF2207277,990,821,648,0,0,0,2,0,0,0,0,2,26,71,10
KAF2207278,2028,1568,1062,2,0,0,0,2,2,2,0,4,22,56,17
KAF2207279,66748,71352,60046,13,3,15,0,0,1,24,4,8,50,145,40
KAF2207280,27130,27280,22474,2,5,1,0,0,0,7,7,13,32,70,38
KAF2207281,9476,9441,11538,0,0,0,4,0,2,35,4,14,30,73,27
KAF2207282,93,83,153,0,0,0,0,0,0,1,0,0,1,14,0
KAF2207283,56,72,61,0,0,0,0,0,0,1,0,0,5,7,3
KAF2207284,4556,3979,4270,0,0,0,0,0,0,4,4,0,19,53,18
KAF2207285,1535,1094,1875,1,4,4,2,0,1,20,18,14,35,72,32
KAF2207286,1718,1626,1531,0,0,0,0,2,0,6,2,0,17,55,20
KAF2207287,1098,924,924,3,0,6,6,0,4,22,0,4,36,50,35
KAF2207288,1070,1282,1663,0,2,2,0,0,2,2,4,2,19,45,30
KAF2207289,835,1255,2358,0,0,0,0,0,0,4,0,0,0,16,4
KAF2207290,20201,18074,13115,0,1,11,4,4,1,21,12,15,76,120,44
KAF2207291,5525,4628,3887,0,0,2,1,1,0,2,1,1,7,26,15
