Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2211286,15.131766,18.044777,38.023072,0,0,0,0,142.653861,214.287857,88.595683,52.916006,44.811531,63.579785,49.760274,48.35569
KAF2211287,27.083052,31.52643,37.037712,102.434394,0,97.013159,170.189794,0,0,8.034557,0,0,16.144568,20.216694,5.58126
KAF2211288,22.254185,22.731189,45.600569,77.669752,55.596094,73.55916,32.261135,51.498941,77.359264,51.78297,28.654516,64.708977,19.382282,16.047636,16.927717
KAF2211289,6.506728,5.871713,7.622397,0,0,0,0,324.933795,0,163.36294,120.530902,127.588386,270.331826,238.775597,180.234846
KAF2211290,16.880341,16.7939,25.644236,0,0,0,0,0,0,18.235055,0,0,0,7.647228,4.222369
KAF2211291,82.672149,75.656095,45.266381,49.668157,0,94.079041,41.260621,0,0,7.791555,12.21597,51.725021,15.656283,20.524245,6.765572
KAF2211292,7.310123,9.361035,7.442129,0,0,0,0,0,0,11.824294,0,0,0,3.719062,0
KAF2211293,11.500686,13.393335,6.297496,0,0,0,0,0,0,0,0,0,1.794238,1.263823,1.860832
KAF2211294,30.17936,29.963573,42.424837,0,252.276798,0,292.780844,467.370527,117.010303,82.932032,86.683183,73.407016,115.72424,121.727112,76.812415
KAF2211295,1.885414,2.041691,3.451999,0,0,0,0,0,0,0,0,13.515037,3.408976,3.201614,3.535502
KAF2211296,2.78432,2.913473,7.36638,0,0,0,0,0,0,9.564042,0,0,17.08258,8.523096,5.53644
KAF2211297,9.375374,9.513631,24.954372,0,0,78.474949,68.834144,0,55.019337,25.996944,0,69.033329,21.765847,33.218032,40.632654
KAF2211298,38.463686,31.154536,21.130194,0,257.569318,0,0,0,0,28.223955,0,0,0,23.302655,17.15522
KAF2211299,18.049407,20.159016,27.11771,0,0,132.787312,0,185.929419,0,65.984069,86.210795,29.202791,66.293908,67.449803,70.664283
KAF2211300,0.158425,0.085778,0.556766,0,0,0,0,0,0,0,0,0,0,0,0
KAF2211301,0.382668,0,0.336212,0,0,0,0,0,0,0,0,0,0,0,0
